time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2019-01-04 00:00:00,1.26371,1.26448,1.26151,1.26404,12380,12,0,2019-01-04 02:00:00,2019-01-04 03:30:00
2019-01-04 04:00:00,1.264,1.26427,1.26273,1.26335,7328,8,0,2019-01-04 05:00:00,2019-01-04 05:30:00
2019-01-04 08:00:00,1.26335,1.26815,1.26267,1.26715,13426,12,0,2019-01-04 08:30:00,2019-01-04 11:00:00
2019-01-04 12:00:00,1.26715,1.26944,1.26314,1.26428,22150,12,0,2019-01-04 15:30:00,2019-01-04 12:00:00
2019-01-04 16:00:00,1.26427,1.27433,1.26163,1.27252,34288,5,0,2019-01-04 17:00:00,2019-01-04 19:00:00
2019-01-04 20:00:00,1.27252,1.2744,1.27184,1.2723,12164,12,0,2019-01-04 20:00:00,2019-01-04 22:00:00
2019-01-07 00:00:00,1.2716,1.27445,1.27073,1.27415,6832,8,0,2019-01-07 00:30:00,2019-01-07 03:30:00
2019-01-07 04:00:00,1.27416,1.27501,1.27388,1.27482,4896,7,0,2019-01-07 04:00:00,2019-01-07 06:30:00
2019-01-07 08:00:00,1.27482,1.27647,1.27195,1.27497,13489,12,0,2019-01-07 10:30:00,2019-01-07 11:30:00
2019-01-07 12:00:00,1.27495,1.2767,1.27258,1.27645,15287,12,0,2019-01-07 12:30:00,2019-01-07 15:30:00
2019-01-07 16:00:00,1.27645,1.27863,1.27513,1.27735,22848,12,0,2019-01-07 18:30:00,2019-01-07 17:00:00
2019-01-07 20:00:00,1.27735,1.27812,1.27623,1.27765,9329,8,0,2019-01-07 22:00:00,2019-01-07 23:30:00
2019-01-08 00:00:00,1.27732,1.27883,1.27635,1.27646,6096,8,0,2019-01-08 03:30:00,2019-01-08 01:00:00
2019-01-08 04:00:00,1.27646,1.2773,1.27533,1.27625,5972,8,0,2019-01-08 06:00:00,2019-01-08 04:30:00
2019-01-08 08:00:00,1.27625,1.27968,1.27451,1.2766,14233,9,0,2019-01-08 10:00:00,2019-01-08 09:00:00
2019-01-08 12:00:00,1.2766,1.27793,1.27271,1.27347,16748,12,0,2019-01-08 15:30:00,2019-01-08 13:30:00
2019-01-08 16:00:00,1.27347,1.27462,1.27075,1.27225,20166,12,0,2019-01-08 19:00:00,2019-01-08 16:00:00
2019-01-08 20:00:00,1.27225,1.27247,1.2706,1.27142,8234,8,0,2019-01-08 21:00:00,2019-01-08 20:00:00
2019-01-09 00:00:00,1.27137,1.27484,1.27068,1.27374,11940,3,0,2019-01-09 00:30:00,2019-01-09 03:30:00
2019-01-09 04:00:00,1.27374,1.27484,1.27326,1.2742,8256,3,0,2019-01-09 05:00:00,2019-01-09 07:00:00
2019-01-09 08:00:00,1.2742,1.27773,1.27299,1.27528,19273,3,0,2019-01-09 09:30:00,2019-01-09 10:30:00
2019-01-09 12:00:00,1.27528,1.27565,1.27154,1.27361,19922,3,0,2019-01-09 12:30:00,2019-01-09 14:30:00
2019-01-09 16:00:00,1.27361,1.28031,1.27342,1.27752,37478,3,0,2019-01-09 17:30:00,2019-01-09 17:00:00
2019-01-09 20:00:00,1.27752,1.28034,1.2772,1.27867,20473,3,0,2019-01-09 20:30:00,2019-01-09 23:00:00
2019-01-10 00:00:00,1.27876,1.28009,1.27718,1.27852,11830,3,0,2019-01-10 00:30:00,2019-01-10 02:00:00
2019-01-10 04:00:00,1.27851,1.27981,1.27769,1.27869,10794,3,0,2019-01-10 04:00:00,2019-01-10 05:30:00
2019-01-10 08:00:00,1.27869,1.27935,1.2747,1.27629,18230,3,0,2019-01-10 11:00:00,2019-01-10 08:00:00
2019-01-10 12:00:00,1.27624,1.27783,1.27273,1.27621,21695,3,0,2019-01-10 13:30:00,2019-01-10 15:00:00
2019-01-10 16:00:00,1.27621,1.27804,1.27397,1.27504,26750,3,0,2019-01-10 19:30:00,2019-01-10 17:30:00
2019-01-10 20:00:00,1.27502,1.27644,1.27409,1.27463,13714,3,0,2019-01-10 22:00:00,2019-01-10 20:00:00
